"","index","schedule_date","schedule_season","schedule_week","team_home","team_home_full","team_away_full","score_home","score_away","score_total","over_under_line","over_under_diff","over_binary","spread_favorite","home_total_dvoa","home_weighted_dvoa","home_offense_dvoa","home_defense_dvoa","home_special_dvoa","home_off_def_difference","home_sec_play_total","home_sec_play_neutral","home_sec_play_composite","away_total_dvoa","away_weighted_dvoa","away_offense_dvoa","away_defense_dvoa","away_special_dvoa","away_off_def_difference","away_sec_play_total","away_sec_play_neutral","away_sec_play_composite","dvoa_total_cumulative","dvoa_total_difference","dvoa_weighted_cumulative","dvoa_weighted_difference","dvoa_offense_cumulative","dvoa_offense_difference","dvoa_defense_cumulative","dvoa_defense_difference","dvoa_special_cumulative","dvoa_special_difference","dvoa_home_offense_matchup","dvoa_away_offense_matchup","composite_pace_average","composite_pace_difference","offense_matchup_cumulative","offense_matchup_difference"
"25",25,"1993-09-12",1993,2,"NYG","NYG1993","TB1993",23,7,30,37.5,-7.5,0,-10,12.8,13.1,11.2,-0.6,0.9,10.3,29.7,32.21,30.955,-33.7,-19.6,-20.9,11.3,-1.5,-19.4,28.33,31.63,29.98,-20.9,46.5,-6.5,32.7,-9.7,32.1,10.7,11.9,12.2,2.4,22.5,-21.5,30.4675,0.974999999999998,1,44
"26",26,"1993-09-12",1993,2,"SEA","SEA1993","LV1993",13,17,30,33,-3,0,-3,-5.4,-7,-8,-5,-2.4,-5.6,26.79,30.6,28.695,10.8,5.1,4.9,2.1,8,-3.1,29.04,31.99,30.515,5.4,16.2,-1.9,12.1,-3.1,12.9,-2.9,7.1,-0.3,10.4,-5.9,-0.0999999999999996,29.605,1.82,-6,5.8
"27",27,"1993-09-12",1993,2,"WAS","WAS1993","ARI1993",10,17,27,40.5,-13.5,0,-10,-24,-29.2,-10.2,12.3,-1.5,-8.7,26.92,29.88,28.4,-1.7,6.2,4.2,8.3,2.4,1.8,29.52,31.75,30.635,-25.7,22.3,-23,35.4,-6,14.4,20.6,4,6.8,3.9,-1.9,16.5,29.5175,2.235,14.6,18.4
"28",28,"1993-09-13",1993,2,"CLE","CLE1993","SF1993",23,13,36,39,-3,0,-6.5,0,5.6,-7.4,-2.2,5.2,-12.6,29.37,33.08,31.225,24.4,24.5,31.9,4.8,-2.6,34.5,28.04,30.5,29.27,24.4,24.4,30.1,18.9,24.5,39.3,2.6,7,10,7.8,-2.6,29.7,30.2475,1.955,27.1,32.3
"29",29,"1993-09-19",1993,3,"NE","NE1993","SEA1993",14,17,31,32,-1,0,-2.5,-25.8,-14.2,-12.2,7.6,-6,-6.2,26.21,29.92,28.065,-5.4,-7,-8,-5,-2.4,-5.6,26.79,30.6,28.695,-31.2,20.4,-21.2,7.2,-20.2,4.2,2.6,12.6,-11,3.6,-17.2,-0.4,28.38,0.629999999999999,-17.6,16.8
"30",30,"1993-09-19",1993,3,"NO","NO1993","DET1993",14,3,17,41,-24,0,-5,0.2,-17.1,-14.2,-7.8,6.6,-20.8,28.1,30.68,29.39,-2.3,-0.4,-11.7,-4.1,5.3,-17,29.3,32,30.65,-2.1,2.5,-17.5,16.7,-25.9,2.5,-11.9,3.7,2.5,1.3,-18.3,-19.5,30.02,1.26,-37.8,1.2
"31",31,"1993-09-19",1993,3,"NYG","NYG1993","LAR1993",20,10,30,37,-7,0,-7,12.8,13.1,11.2,-0.6,0.9,10.3,29.7,32.21,30.955,-22.9,-29.7,2.6,19.7,-5.9,8.5,27.55,31.24,29.395,-10.1,35.7,-16.6,42.8,13.8,8.6,19.1,20.3,20.6,6.8,30.9,2,30.175,1.56,32.9,28.9
"32",32,"1993-09-19",1993,3,"PHI","PHI1993","WAS1993",34,31,65,36,29,1,-5.5,8.6,5.9,6.4,-8.1,-5.8,12.2,28.16,31.3,29.73,-24,-29.2,-10.2,12.3,-1.5,-8.7,26.92,29.88,28.4,-15.4,32.6,-23.3,35.1,-3.8,16.6,4.2,20.4,6.5,4.3,18.7,-18.3,29.065,1.33,0.400000000000006,37
"33",33,"1993-09-19",1993,3,"ARI","ARI1993","DAL1993",10,17,27,38.5,-11.5,0,-6.5,-1.7,6.2,4.2,8.3,2.4,1.8,29.52,31.75,30.635,24.7,28.6,22.3,1.3,3.8,18.5,28.89,31.01,29.95,23,26.4,34.8,22.4,26.5,18.1,9.6,7,3.7,1.4,5.5,30.6,30.2925,0.685000000000002,36.1,25.1
"34",34,"1993-09-19",1993,3,"PIT","PIT1993","CIN1993",34,7,41,34,7,1,-8.5,12.4,6.4,-1.2,-16.9,-3.3,2.1,28.14,30.26,29.2,-31.4,-23.2,-14.1,16.8,-0.5,-13.6,27.37,29.95,28.66,-19,43.8,-16.8,29.6,-15.3,12.9,-0.0999999999999979,33.7,13.5,2.8,15.6,-31,28.93,0.539999999999999,-15.4,46.6
"35",35,"1993-09-19",1993,3,"LAC","LAC1993","TEN1993",18,17,35,38,-3,0,-2.5,17.9,25.9,11.9,-3.5,2.5,9.4,26.34,29.15,27.745,18.9,32.1,-1.4,-18.1,2.2,-3.6,27.57,29.85,28.71,36.8,1,58,6.2,10.5,13.3,-21.6,14.6,-15.6,0.3,-6.2,-4.9,28.2275,0.965,-11.1,1.3
"36",36,"1993-09-19",1993,3,"SF","SF1993","ATL1993",37,30,67,47,20,1,-13.5,24.4,24.5,31.9,4.8,-2.6,34.5,28.04,30.5,29.27,-8.3,-2,-7.5,7.4,6.6,-14.1,29.4,35.02,32.21,16.1,32.7,22.5,26.5,24.4,39.4,12.2,2.6,4.8,9.2,39.3,-2.7,30.74,2.94,36.6,42
"37",37,"1993-09-20",1993,3,"KC","KC1993","DEN1993",15,7,22,43,-21,0,-6,20,17.9,12.6,-9.4,-2.1,14.7,28.44,30.28,29.36,13.7,14.5,15,-1.3,-2.6,17.6,27.74,30.2,28.97,33.7,6.3,32.4,3.4,27.6,2.4,-10.7,8.1,-3.4,0.5,11.3,5.6,29.165,0.390000000000001,16.9,5.7
"38",38,"1993-09-26",1993,4,"BUF","BUF1993","MIA1993",13,22,35,39,-4,0,-6,7.8,-2,2,-5.5,0.4,1.6,24.07,24.86,24.465,3,1.7,11.3,8.2,-0.1,11.4,26.47,28.72,27.595,10.8,4.8,-0.3,3.7,13.3,9.3,2.7,13.7,8.6,0.5,10.2,5.8,26.03,3.13,16,4.4
"39",39,"1993-09-26",1993,4,"CHI","CHI1993","TB1993",47,17,64,33.5,30.5,1,-7,-7.2,-12.6,-14.6,-4.7,2.7,-17.3,29.05,31.74,30.395,-33.7,-19.6,-20.9,11.3,-1.5,-19.4,28.33,31.63,29.98,-40.9,26.5,-32.2,7,-35.5,6.3,6.6,16,14,4.2,-3.3,-25.6,30.1875,0.414999999999999,-28.9,22.3
"40",40,"1993-09-26",1993,4,"CIN","CIN1993","SEA1993",10,19,29,31.5,-2.5,0,-3,-31.4,-23.2,-14.1,16.8,-0.5,-13.6,27.37,29.95,28.66,-5.4,-7,-8,-5,-2.4,-5.6,26.79,30.6,28.695,-36.8,26,-30.2,16.2,-22.1,6.1,11.8,21.8,-5.5,1.9,-19.1,8.8,28.6775,0.0350000000000001,-10.3,27.9
"41",41,"1993-09-26",1993,4,"DET","DET1993","ARI1993",26,20,46,36.5,9.5,1,-5,-2.3,-0.4,-11.7,-4.1,5.3,-17,29.3,32,30.65,-1.7,6.2,4.2,8.3,2.4,1.8,29.52,31.75,30.635,-4,0.6,5.8,6.6,-7.5,15.9,4.2,12.4,13.6,2.9,-3.4,0.100000000000001,30.6425,0.014999999999997,-3.3,3.5
"42",42,"1993-09-26",1993,4,"TEN","TEN1993","LAR1993",13,28,41,39.5,1.5,1,-10.5,18.9,32.1,-1.4,-18.1,2.2,-3.6,27.57,29.85,28.71,-22.9,-29.7,2.6,19.7,-5.9,8.5,27.55,31.24,29.395,-4,41.8,2.4,61.8,1.2,4,1.6,37.8,21.9,8.1,18.3,-15.5,29.0525,0.684999999999999,2.8,33.8
"43",43,"1993-09-26",1993,4,"MIN","MIN1993","GB1993",15,13,28,36.5,-8.5,0,-3,8.3,13.9,0.2,-16.2,-8.1,8.3,27.91,30.96,29.435,10.8,9.7,-3.4,-9.1,5.2,-8.6,28.47,30.7,29.585,19.1,2.5,23.6,4.2,-3.2,3.6,-25.3,7.1,-17.2,13.3,-8.9,-19.6,29.51,0.150000000000002,-28.5,10.7
"44",44,"1993-09-26",1993,4,"NO","NO1993","SF1993",16,13,29,41,-12,0,-1,0.2,-17.1,-14.2,-7.8,6.6,-20.8,28.1,30.68,29.39,24.4,24.5,31.9,4.8,-2.6,34.5,28.04,30.5,29.27,24.6,24.2,7.4,41.6,17.7,46.1,-3,12.6,11.4,9.2,-9.4,24.1,29.33,0.120000000000001,14.7,33.5
