index,schedule_date,schedule_season,schedule_week,team_home,team_home_full,team_away_full,score_home,score_away,score_total,over_under_line,over_under_diff,over_binary,spread_favorite,home_total_dvoa,home_weighted_dvoa,home_offense_dvoa,home_defense_dvoa,home_special_dvoa,home_off_def_difference,home_sec_play_total,home_sec_play_neutral,home_sec_play_composite,away_total_dvoa,away_weighted_dvoa,away_offense_dvoa,away_defense_dvoa,away_special_dvoa,away_off_def_difference,away_sec_play_total,away_sec_play_neutral,away_sec_play_composite
11,1993-09-05,1993,1,PIT,PIT1993,SF1993,13,24,37,36,1,1,-6,12.4,6.4,-1.2,-16.9,-3.3,2.1,28.14,30.26,29.2,24.4,24.5,31.9,4.8,-2.6,34.5,28.04,30.5,29.27
12,1993-09-05,1993,1,LAC,LAC1993,SEA1993,18,12,30,33,-3,0,-11,17.9,25.9,11.9,-3.5,2.5,9.4,26.34,29.15,27.745,-5.4,-7,-8,-5,-2.4,-5.6,26.79,30.6,28.695
13,1993-09-05,1993,1,TB,TB1993,KC1993,3,27,30,36,-6,0,-7,-33.7,-19.6,-20.9,11.3,-1.5,-19.4,28.33,31.63,29.98,20,17.9,12.6,-9.4,-2.1,14.7,28.44,30.28,29.36
14,1993-09-06,1993,1,WAS,WAS1993,DAL1993,35,16,51,40,11,1,-2.5,-24,-29.2,-10.2,12.3,-1.5,-8.7,26.92,29.88,28.4,24.7,28.6,22.3,1.3,3.8,18.5,28.89,31.01,29.95
15,1993-09-12,1993,2,ATL,ATL1993,NO1993,31,34,65,39.5,25.5,1,-3.5,-8.3,-2,-7.5,7.4,6.6,-14.1,29.4,35.02,32.21,0.2,-17.1,-14.2,-7.8,6.6,-20.8,28.1,30.68,29.39
16,1993-09-12,1993,2,CIN,CIN1993,IND1993,6,9,15,36,-21,0,-2,-31.4,-23.2,-14.1,16.8,-0.5,-13.6,27.37,29.95,28.66,-38.9,-38.5,-21,18,0.1,-21.1,26.33,30.6,28.465
17,1993-09-12,1993,2,DAL,DAL1993,BUF1993,10,13,23,44.5,-21.5,0,-5,24.7,28.6,22.3,1.3,3.8,18.5,28.89,31.01,29.95,7.8,-2,2,-5.5,0.4,1.6,24.07,24.86,24.465
18,1993-09-12,1993,2,DEN,DEN1993,LAC1993,34,17,51,36,15,1,-3,13.7,14.5,15,-1.3,-2.6,17.6,27.74,30.2,28.97,17.9,25.9,11.9,-3.5,2.5,9.4,26.34,29.15,27.745
19,1993-09-12,1993,2,GB,GB1993,PHI1993,17,20,37,40,-3,0,-3.5,10.8,9.7,-3.4,-9.1,5.2,-8.6,28.47,30.7,29.585,8.6,5.9,6.4,-8.1,-5.8,12.2,28.16,31.3,29.73
20,1993-09-12,1993,2,TEN,TEN1993,KC1993,30,0,30,41,-11,0,-3,18.9,32.1,-1.4,-18.1,2.2,-3.6,27.57,29.85,28.71,20,17.9,12.6,-9.4,-2.1,14.7,28.44,30.28,29.36
