index,team,schedule_season,team_year,total_dvoa,weighted_dvoa,offense_dvoa,defense_dvoa,special_dvoa,off_def_difference
763,PHI,1998,PHI1998,-37,-31.1,-23.5,10.6,-3,-12.9
764,DEN,1997,DEN1997,29.9,24,20.2,-5.5,4.3,14.7
765,KC,1997,KC1997,29.4,34.9,13.8,-8.3,7.3,5.5
766,GB,1997,GB1997,29.1,34.8,15.9,-9.8,3.5,6.1
767,SF,1997,SF1997,27.5,27.1,5.7,-20.9,0.9,-15.2
768,PIT,1997,PIT1997,26.7,33.2,13.4,-12.5,0.8,0.9
769,JAX,1997,JAX1997,21.5,25.5,23.4,4.2,2.3,27.6
770,DET,1997,DET1997,12.1,15.8,4,-7.2,0.9,-3.2
771,NE,1997,NE1997,12,7.2,7.5,-2.2,2.2,5.3
772,TB,1997,TB1997,7.8,3.6,1.7,-4.5,1.6,-2.8
773,BAL,1997,BAL1997,4.6,0.7,1.8,-0.7,2.1,1.1
774,DAL,1997,DAL1997,3.8,-8.6,-1.5,3.6,8.9,2.1
775,NYG,1997,NYG1997,2.3,3.7,-5.1,-9.2,-1.9,-14.3
776,NYJ,1997,NYJ1997,2.2,-4.2,-1.7,3.2,7.1,1.5
777,WAS,1997,WAS1997,2,1.1,2.4,1,0.5,3.4
778,MIA,1997,MIA1997,0.1,-2.8,11.2,13.4,2.3,24.6
779,MIN,1997,MIN1997,-0.8,-4.5,9.1,7.5,-2.4,16.6
780,ATL,1997,ATL1997,-0.8,12.2,-4.9,-0.1,3.9,-5
781,TEN,1997,TEN1997,-1.5,1.5,4.1,2.8,-2.8,6.9
782,CIN,1997,CIN1997,-3.1,7.3,18,19.2,-1.9,37.2
783,PHI,1997,PHI1997,-3.6,-1.2,1.1,-1,-5.7,0.1
784,SEA,1997,SEA1997,-7.2,-6,2.8,-1.1,-11.1,1.7
785,CAR,1997,CAR1997,-13.4,-16.9,-8.1,5,-0.3,-3.1
786,LAR,1997,LAR1997,-16.4,-13.7,-15,-5.9,-7.3,-20.9
787,BUF,1997,BUF1997,-16.8,-20,-18.3,-7.2,-5.7,-25.5
788,LV,1997,LV1997,-18.5,-28.7,-0.7,15.7,-2,15
789,IND,1997,IND1997,-19.9,-12.4,-9.3,7.4,-3.2,-1.9
790,ARI,1997,ARI1997,-22.6,-26.3,-13.8,9.8,1,-4
791,NO,1997,NO1997,-25.8,-23.5,-36.2,-8.8,1.7,-45
792,CHI,1997,CHI1997,-29.2,-25.9,-13.9,6,-9.2,-7.9
793,LAC,1997,LAC1997,-31.2,-36.8,-28.6,3.2,0.6,-25.4
794,GB,1996,GB1996,43,34.7,16.1,-19.6,7.4,-3.5
795,SF,1996,SF1996,28.8,25.4,10.1,-15.3,3.4,-5.2
796,DEN,1996,DEN1996,26.8,25.4,13.6,-15.2,-2.1,-1.6
797,DAL,1996,DAL1996,23.1,20.4,5.9,-11.8,5.4,-5.9
798,CAR,1996,CAR1996,22.5,28.2,0.2,-12.5,9.8,-12.3
799,PIT,1996,PIT1996,17.8,13.5,6.6,-13.7,-2.5,-7.1
800,PHI,1996,PHI1996,13.5,15.1,7.1,-8.8,-2.5,-1.7
801,KC,1996,KC1996,9,6.6,11.6,-0.8,-3.5,10.8
802,WAS,1996,WAS1996,9,2.6,17.3,11.6,3.3,28.9
803,NE,1996,NE1996,8.8,12.5,3.9,-2.5,2.4,1.4
804,TEN,1996,TEN1996,6.2,3.1,0.7,-4.5,1,-3.8
805,CIN,1996,CIN1996,6,12.3,8.4,-3.6,-6,4.8
806,LV,1996,LV1996,4.8,7.5,1.2,-5.1,-1.5,-3.9
807,BAL,1996,BAL1996,3,4.8,22.8,19.7,-0.2,42.5
808,BUF,1996,BUF1996,1.8,6.1,-12.7,-9.1,5.4,-21.8
809,MIA,1996,MIA1996,-0.9,-4.6,7.2,8.9,0.8,16.1
810,LAC,1996,LAC1996,-1,-11.7,-6.7,-3.7,2,-10.4
811,JAX,1996,JAX1996,-1.2,-2.9,7.6,6.3,-2.5,13.9
812,CHI,1996,CHI1996,-6.3,-2.4,-0.3,4.5,-1.5,4.2
813,DET,1996,DET1996,-9.4,-14.6,3.8,12,-1.2,15.8
814,MIN,1996,MIN1996,-10.8,-13.3,-8,-4.1,-6.8,-12.1
815,TB,1996,TB1996,-11.4,4.1,-14.5,1.3,4.5,-13.2
816,NYG,1996,NYG1996,-12.6,-12.1,-21.2,-4.2,4.5,-25.4
817,IND,1996,IND1996,-12.9,-12.6,-7.9,11,6,3.1
818,SEA,1996,SEA1996,-14.8,-6,-10.8,3.5,-0.5,-7.3
819,NO,1996,NO1996,-22.8,-24.5,-17.6,0.6,-4.6,-17
820,ATL,1996,ATL1996,-25.7,-24.9,-3.2,19,-3.5,15.8
821,LAR,1996,LAR1996,-26.7,-18.7,-27.4,-3.8,-3,-31.2
822,ARI,1996,ARI1996,-29.1,-22,-4.8,16.7,-7.5,11.9
823,NYJ,1996,NYJ1996,-33.6,-33.4,-12,13.8,-7.7,1.8
824,SF,1995,SF1995,40,40.6,19.5,-22.7,-2.2,-3.2
825,DAL,1995,DAL1995,32.7,27.6,30.1,1.4,4,31.5
826,KC,1995,KC1995,27.1,32.3,2.7,-16.3,8,-13.6
827,PIT,1995,PIT1995,19.6,23.3,3.3,-12.2,4.1,-8.9
828,ATL,1995,ATL1995,17.4,26.6,14.9,2.9,5.4,17.8
829,MIN,1995,MIN1995,15.6,14.4,3.4,-12.8,-0.5,-9.4
830,DET,1995,DET1995,13.2,17.1,15.7,-1.4,-3.9,14.3
831,GB,1995,GB1995,13.2,19.2,20.8,6.5,-1.1,27.3
832,DEN,1995,DEN1995,9.9,9.8,18.2,11.3,3,29.5
833,CHI,1995,CHI1995,9.4,5.1,20.5,7.4,-3.7,27.9
834,LV,1995,LV1995,4.6,-9,-0.9,-5.6,-0.2,-6.5
835,LAC,1995,LAC1995,4,6,5.3,1.9,0.6,7.2
836,MIA,1995,MIA1995,0.4,-6.2,6.4,6.6,0.7,13
837,BUF,1995,BUF1995,-1,-2.6,-5.4,-5.2,-0.8,-10.6
838,NO,1995,NO1995,-1.4,0.7,3.8,4.1,-1,7.9
839,TEN,1995,TEN1995,-1.5,7.3,-12.8,-12.6,-1.2,-25.4
840,PHI,1995,PHI1995,-5.8,-0.3,-11.8,-13.9,-7.9,-25.7
841,WAS,1995,WAS1995,-6.2,-5.4,-1.5,8.8,4.2,7.3
842,NYG,1995,NYG1995,-8,-2.3,-6.4,2.5,0.9,-3.9
843,CIN,1995,CIN1995,-8.1,-12.6,2.4,12.5,2.1,14.9
844,CLE,1995,CLE1995,-8.8,-17,-5.1,9.3,5.6,4.2
845,LAR,1995,LAR1995,-9.3,-17,-9.5,-3.8,-3.5,-13.3
846,IND,1995,IND1995,-9.9,-5.4,-2.1,3.4,-4.4,1.3
847,CAR,1995,CAR1995,-11.3,-6,-25.8,-11.6,2.9,-37.4
848,SEA,1995,SEA1995,-12,-5,-4.3,6.2,-1.5,1.9
849,TB,1995,TB1995,-20.2,-22.4,-13.8,6,-0.4,-7.8
850,NE,1995,NE1995,-22.3,-20.2,-9.5,12.6,-0.2,3.1
851,NYJ,1995,NYJ1995,-25.2,-21.6,-31.3,-8.4,-2.3,-39.7
852,JAX,1995,JAX1995,-27.3,-22,-9.9,14.1,-3.3,4.2
853,ARI,1995,ARI1995,-30.3,-26.6,-23.7,2.9,-3.7,-20.8
854,DAL,1994,DAL1994,32.4,28.2,18.8,-11.9,1.7,6.9
855,PIT,1994,PIT1994,30.4,36.6,13.5,-17,-0.1,-3.5
856,SF,1994,SF1994,28,37.5,19.5,-7.4,1.1,12.1
857,GB,1994,GB1994,21.1,21.9,13.5,-10.4,-2.7,3.1
858,MIA,1994,MIA1994,16.5,13.5,18.5,-1.9,-3.9,16.6
859,KC,1994,KC1994,13.3,11.6,8.1,-4.6,0.6,3.5
860,LAC,1994,LAC1994,10.3,7.4,9.2,4.4,5.5,13.6
861,PHI,1994,PHI1994,9.9,2.3,-1.9,-10.6,1.2,-12.5
862,CLE,1994,CLE1994,9.4,8.3,-3.9,-3.2,10.1,-7.1
863,MIN,1994,MIN1994,5,0.8,-4,-11.2,-2.3,-15.2
864,NE,1994,NE1994,4.6,6.7,-1,-4.9,0.7,-5.9
865,DET,1994,DET1994,4.4,12.1,7.4,2.7,-0.3,10.1
866,BUF,1994,BUF1994,0.7,-2.8,5,4.5,0.1,9.5
867,NO,1994,NO1994,-0.2,1.8,7.3,4,-3.5,11.3
868,LV,1994,LV1994,-4.6,0.9,-9.4,-2.9,1.8,-12.3
869,CHI,1994,CHI1994,-5,-2.3,-0.8,2.7,-1.4,1.9
870,NYJ,1994,NYJ1994,-6.9,-6.2,-1.8,3.7,-1.4,1.9
871,SEA,1994,SEA1994,-7.2,-18,-10.9,-0.4,3.3,-11.3
872,NYG,1994,NYG1994,-8.4,-9,-8,3.6,3.2,-4.4
873,IND,1994,IND1994,-8.7,-6.4,-6.3,0.6,-1.8,-5.7
874,ARI,1994,ARI1994,-10.1,3.4,-16.6,-11.3,-4.8,-27.9
875,DEN,1994,DEN1994,-11.3,-10.8,1.4,14.7,2,16.1
876,ATL,1994,ATL1994,-11.9,-13.4,-5.3,3.9,-2.7,-1.4
877,LAR,1994,LAR1994,-12.8,-11.6,-0.7,6.3,-5.9,5.6
878,WAS,1994,WAS1994,-18.9,-20.4,-10.1,13.1,4.2,3
879,TB,1994,TB1994,-20,-16.2,-6.9,14.6,1.5,7.7
880,CIN,1994,CIN1994,-27.2,-27.2,-16.9,7.5,-2.8,-9.4
881,TEN,1994,TEN1994,-29.9,-27.2,-22.2,5.8,-1.9,-16.4
882,DAL,1993,DAL1993,24.7,28.6,22.3,1.3,3.8,23.6
883,SF,1993,SF1993,24.4,24.5,31.9,4.8,-2.6,36.7
884,KC,1993,KC1993,20,17.9,12.6,-9.4,-2.1,3.2
885,TEN,1993,TEN1993,18.9,32.1,-1.4,-18.1,2.2,-19.5
886,LAC,1993,LAC1993,17.9,25.9,11.9,-3.5,2.5,8.4
887,DEN,1993,DEN1993,13.7,14.5,15,-1.3,-2.6,13.7
888,NYG,1993,NYG1993,12.8,13.1,11.2,-0.6,0.9,10.6
889,PIT,1993,PIT1993,12.4,6.4,-1.2,-16.9,-3.3,-18.1
890,GB,1993,GB1993,10.8,9.7,-3.4,-9.1,5.2,-12.5
891,LV,1993,LV1993,10.8,5.1,4.9,2.1,8,7
892,PHI,1993,PHI1993,8.6,5.9,6.4,-8.1,-5.8,-1.7
893,MIN,1993,MIN1993,8.3,13.9,0.2,-16.2,-8.1,-16
894,BUF,1993,BUF1993,7.8,-2,2,-5.5,0.4,-3.5
895,NYJ,1993,NYJ1993,5.8,-2.4,5.6,-7.3,-7.2,-1.7
896,MIA,1993,MIA1993,3,1.7,11.3,8.2,-0.1,19.5
897,NO,1993,NO1993,0.2,-17.1,-14.2,-7.8,6.6,-22
898,CLE,1993,CLE1993,0,5.6,-7.4,-2.2,5.2,-9.6
899,ARI,1993,ARI1993,-1.7,6.2,4.2,8.3,2.4,12.5
900,DET,1993,DET1993,-2.3,-0.4,-11.7,-4.1,5.3,-15.8
901,SEA,1993,SEA1993,-5.4,-7,-8,-5,-2.4,-13
902,CHI,1993,CHI1993,-7.2,-12.6,-14.6,-4.7,2.7,-19.3
903,ATL,1993,ATL1993,-8.3,-2,-7.5,7.4,6.6,-0.1
904,LAR,1993,LAR1993,-22.9,-29.7,2.6,19.7,-5.9,22.3
905,WAS,1993,WAS1993,-24,-29.2,-10.2,12.3,-1.5,2.1
906,NE,1993,NE1993,-25.8,-14.2,-12.2,7.6,-6,-4.6
907,CIN,1993,CIN1993,-31.4,-23.2,-14.1,16.8,-0.5,2.7
908,TB,1993,TB1993,-33.7,-19.6,-20.9,11.3,-1.5,-9.6
909,IND,1993,IND1993,-38.9,-38.5,-21,18,0.1,-3
