index,team,schedule_season,team_year,sec_play_total,sec_play_neutral,sec_play_composite
245,TEN,2014,TEN2014,28.19,32.56,30.375
246,PIT,2014,PIT2014,28.29,31.59,29.94
247,CAR,2014,CAR2014,28.3,30.7,29.5
248,GB,2014,GB2014,28.32,29.15,28.735
249,CHI,2014,CHI2014,28.45,32.29,30.37
250,LAR,2014,STL2014,28.48,33.13,30.805
251,WAS,2014,WAS2014,28.65,31.81,30.23
252,LAC,2014,SD2014,28.83,32.18,30.505
253,KC,2014,KC2014,29.05,32.56,30.805
254,SF,2014,SF2014,29.28,31.35,30.315
255,SEA,2014,SEA2014,29.38,32.38,30.88
256,DAL,2014,DAL2014,30.12,32.83,31.475
257,PHI,2013,PHI2013,23.38,23.88,23.63
258,BUF,2013,BUF2013,23.95,24.92,24.435
259,NE,2013,NE2013,24.65,26.59,25.62
260,DEN,2013,DEN2013,24.73,25.86,25.295
261,CLE,2013,CLE2013,24.96,28.9,26.93
262,JAX,2013,JAX2013,25.12,28.37,26.745
263,BAL,2013,BAL2013,25.79,28.28,27.035
264,WAS,2013,WAS2013,26.22,30.8,28.51
265,MIN,2013,MIN2013,26.22,28.64,27.43
266,MIA,2013,MIA2013,26.66,30.08,28.37
267,GB,2013,GB2013,26.69,28.92,27.805
268,IND,2013,IND2013,26.87,28.5,27.685
269,HOU,2013,HOU2013,26.91,30.82,28.865
270,TEN,2013,TEN2013,27.4,30.91,29.155
271,NYJ,2013,NYJ2013,27.45,29.38,28.415
272,DET,2013,DET2013,27.61,30.95,29.28
273,ARI,2013,ARI2013,27.72,30.16,28.94
274,NYG,2013,NYG2013,27.74,31.08,29.41
275,ATL,2013,ATL2013,27.77,31.69,29.73
276,LV,2013,OAK2013,27.93,31.94,29.935
277,LAR,2013,STL2013,28.09,32.31,30.2
278,PIT,2013,PIT2013,28.14,32.31,30.225
279,TB,2013,TB2013,28.18,30.68,29.43
280,CIN,2013,CIN2013,28.2,30,29.1
281,KC,2013,KC2013,28.23,29.28,28.755
282,DAL,2013,DAL2013,28.25,30.84,29.545
283,NO,2013,NO2013,28.25,30.26,29.255
284,CHI,2013,CHI2013,28.64,31.21,29.925
285,SEA,2013,SEA2013,29.08,31.49,30.285
286,SF,2013,SF2013,29.45,30.71,30.08
287,LAC,2013,SD2013,29.47,31.96,30.715
288,CAR,2013,CAR2013,29.93,32,30.965
289,NE,2012,NE2012,24.12,24.53,24.325
290,BAL,2012,BAL2012,25.64,27.54,26.59
291,NO,2012,NO2012,25.69,27.82,26.755
292,PHI,2012,PHI2012,25.73,29.23,27.48
293,DET,2012,DET2012,25.75,29.7,27.725
294,IND,2012,IND2012,25.84,29.47,27.655
295,JAX,2012,JAX2012,26.35,30.69,28.52
296,CLE,2012,CLE2012,26.36,28.26,27.31
297,MIN,2012,MIN2012,26.52,29.72,28.12
298,LV,2012,OAK2012,26.58,30.57,28.575
299,DEN,2012,DEN2012,26.73,27.45,27.09
300,TEN,2012,TEN2012,26.88,31.04,28.96
301,ARI,2012,ARI2012,26.94,30.11,28.525
302,GB,2012,GB2012,27.19,28.69,27.94
303,MIA,2012,MIA2012,27.54,29.23,28.385
304,NYJ,2012,NYJ2012,27.55,30.43,28.99
305,LAR,2012,STL2012,27.64,31.79,29.715
306,DAL,2012,DAL2012,27.68,31.72,29.7
