Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
IND,14,4.5%,14,11-5,15,2.3%,18,-1.3%,11,-2.5%,8,3.3%,14,8.8,12,6.8%,28,-3.4%,7,10.2,21,17.3%
NO,15,3.1%,4,7-9,17,0.9%,8,10.1%,27,8.7%,11,1.6%,16,8.2,16,2.3%,21,-1.6%,20,7.4,27,19.8%
MIA,16,2.9%,22,8-8,18,-1.6%,7,10.4%,17,1.4%,32,-6.1%,15,8.7,14,5.9%,7,2.1%,15,8.4,22,18.4%
STL,17,-0.7%,12,6-10,11,9.5%,25,-11.0%,8,-6.9%,7,3.5%,25,6.5,20,-2.2%,8,1.9%,21,7.1,32,27.8%
HOU,18,-1.0%,29,9-7,13,5.2%,21,-6.5%,6,-9.3%,28,-3.9%,21,7.2,13,6.4%,32,-7.0%,9,9.8,1,6.3%
SD,19,-2.0%,13,9-7,19,-2.4%,10,7.0%,24,6.2%,23,-2.7%,18,7.8,19,-2.1%,4,3.9%,17,8.0,12,15.4%
ARI,20,-2.5%,10,11-5,24,-6.8%,23,-9.1%,7,-8.8%,21,-2.2%,17,8.0,21,-3.2%,2,4.9%,16,8.3,3,8.2%
ATL,21,-3.3%,20,6-10,22,-5.6%,11,6.9%,31,13.1%,9,3.0%,19,7.6,18,-0.5%,26,-2.9%,22,7.1,11,14.6%
NYG,22,-7.8%,27,6-10,20,-4.5%,15,-0.5%,25,6.7%,15,-0.6%,24,6.8,25,-11.0%,18,-1.2%,18,7.5,19,17.2%
CLE,23,-7.9%,28,7-9,25,-12.3%,24,-10.3%,13,-2.0%,14,0.4%,22,7.0,22,-6.2%,25,-2.6%,25,6.9,25,19.1%
CAR,24,-9.5%,3,7-8-1,23,-6.3%,20,-4.9%,15,-0.9%,30,-5.5%,20,7.3,24,-9.8%,10,1.3%,23,7.0,17,16.7%
MIN,25,-10.0%,25,7-9,21,-4.6%,22,-7.6%,23,5.5%,10,3.0%,23,7.0,23,-7.3%,19,-1.2%,19,7.5,8,11.9%
CHI,26,-15.3%,11,5-11,27,-23.4%,16,-0.8%,29,11.4%,25,-3.1%,26,6.3,26,-19.8%,6,2.7%,26,4.9,7,11.1%
NYJ,27,-16.8%,26,4-12,26,-15.3%,27,-11.6%,22,4.5%,16,-0.8%,27,5.6,27,-20.8%,3,3.9%,27,4.8,16,16.6%
WAS,28,-29.1%,30,4-12,32,-42.4%,28,-12.8%,28,10.9%,29,-5.4%,29,4.2,30,-27.7%,20,-1.3%,28,4.5,30,23.9%
TB,29,-29.4%,19,2-14,28,-24.9%,32,-26.5%,19,2.0%,17,-0.8%,30,3.9,28,-25.0%,17,-0.9%,29,4.4,28,21.2%
OAK,30,-29.5%,31,3-13,30,-31.3%,30,-19.9%,26,8.0%,18,-1.7%,28,4.4,32,-37.9%,1,7.4%,32,3.1,24,18.7%
TEN,31,-31.1%,21,2-14,31,-38.0%,29,-16.1%,32,13.2%,20,-1.8%,31,3.7,29,-27.7%,24,-2.5%,31,3.3,23,18.7%
JAX,32,-31.3%,32,3-13,29,-25.3%,31,-24.8%,21,2.8%,26,-3.6%,32,3.1,31,-27.8%,22,-2.0%,30,3.6,15,16.4%

