Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
KC,18,-0.9%,29,10-6,22,-8.5%,13,4.1%,22,3.0%,24,-2.1%,15,8.2,12,6.5%,30,-8.3%,13,9.1,25,23.4%
CIN,19,-4.8%,19,4-12,20,-7.3%,16,1.6%,21,2.8%,28,-3.5%,25,6.4,25,-14.9%,2,9.9%,25,6.0,10,13.4%
OAK,20,-4.8%,30,8-8,12,8.6%,23,-8.2%,14,-1.6%,13,1.8%,20,7.0,17,0.3%,24,-3.9%,14,9.0,32,34.6%
CLE,21,-4.9%,27,5-11,24,-10.0%,21,-5.0%,20,2.7%,10,2.7%,24,6.6,23,-8.4%,4,8.2%,24,6.1,21,20.6%
DAL,22,-8.7%,5,6-10,21,-7.9%,22,-5.0%,24,4.2%,15,0.6%,19,7.0,22,-7.5%,16,1.3%,19,7.0,23,21.6%
JAX,23,-10.5%,23,8-8,19,-6.0%,14,3.5%,32,18.8%,7,4.8%,26,6.2,24,-9.4%,20,-0.8%,22,6.3,20,20.5%
MIN,24,-11.7%,7,6-10,26,-13.9%,27,-14.7%,11,-4.4%,19,-1.4%,23,6.7,26,-15.8%,6,5.0%,26,6.0,14,15.2%
SF,25,-12.4%,20,6-10,23,-9.6%,24,-10.9%,17,0.0%,20,-1.5%,22,6.7,20,-5.2%,28,-7.2%,21,6.8,27,23.7%
STL,26,-15.9%,31,7-9,25,-13.5%,30,-18.3%,15,-1.6%,14,0.8%,27,5.9,21,-6.8%,32,-10.8%,20,6.8,9,13.3%
DEN,27,-19.8%,14,4-12,27,-18.2%,17,1.5%,31,18.8%,27,-2.6%,29,4.9,27,-18.4%,21,-1.8%,29,4.9,17,19.7%
WAS,28,-20.9%,21,6-10,29,-23.4%,25,-11.4%,27,7.2%,25,-2.3%,30,4.6,28,-21.3%,11,3.4%,27,5.9,8,10.0%
BUF,29,-22.4%,24,4-12,28,-21.4%,26,-14.5%,28,7.7%,17,-0.1%,28,5.4,31,-31.6%,1,11.2%,30,4.3,19,20.4%
SEA,30,-24.3%,28,7-9,30,-31.1%,29,-17.8%,29,12.9%,2,6.4%,21,6.8,29,-23.5%,29,-7.7%,28,5.4,31,30.4%
ARI,31,-33.5%,10,5-11,31,-32.2%,31,-35.8%,19,1.8%,9,4.2%,31,3.7,30,-24.7%,31,-8.7%,31,4.3,24,22.8%
CAR,32,-38.2%,15,2-14,32,-35.1%,32,-36.2%,18,0.5%,22,-1.5%,32,2.0,32,-41.1%,12,2.9%,32,2.4,5,9.5%

